GAL,Uniprot,Annotation
FAM153A,Q9UHL3,testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
RMND5B,Q96G75,
NHP2,Q9NX24,megakaryocyte
HNRNPAB,Q99729,megakaryocyte
PHYKPL,Q8IUZ5,
COL23A1,Q86Y22,thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
ZNF354A,,
ZNF354B,Q96LW1,
ZFP2,Q6ZN57,
ZNF354C,Q86Y25,
ADAMTS2,O95450,macrophage*nk cell*cell*granulocyte*t cells*monocyte
RUFY1,Q96T51,
LTC4S,Q16873,granulocyte*t cells*monocyte
MGAT4B,Q9UQ53,liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
SQSTM1,Q13501,b cell*megakaryocyte*dendritic cell*nk cell monocyte*nk t cell*skeletal*gallbladder*parathyroid*pituitary*adipose
C5orf45,,
TBC1D9B,Q66K14,
MAPK9,P45984,
GFPT2,O94808,adipose
FLT4,P35916,
MGAT1,P26572,megakaryocyte*monocyte
BTNL9,Q6UXG8,adipose
TRIM7,Q9C029,skeletal*gallbladder*parathyroid*pituitary*adipose
TRIM41,Q8WV44,brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
TRIM52,Q96A61,
DUSP22,Q9NRW4,
IRF4,Q15306,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*dendritic cell*erythroid cell*kupffer*macrophage*nk cell*cell*granulocyte*t cells*monocyte
FOXQ1,Q9C009,stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
FOXC1,Q12948,salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
GMDS,O60547,salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
WRNIP1,Q96S55,
SERPINB1,P30740,b cell*megakaryocyte*nk cell monocyte*bonemarrow*seminal*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*monocyte
SERPINB9,P50453,placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*monocyte
SERPINB6,P35237,megakaryocyte
NQO2,P16083,megakaryocyte
RIPK1,Q13546,
BPHL,Q86WA6,liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
TUBB2A,Q13885,brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
TUBB2B,Q9BVA1,brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
SLC22A23,A1A5C7,
PXDC1,Q5TGL8,liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*langerhans*hofbauer*plasma cell*b cell*dendritic cell*erythroid cell*kupffer*macrophage*nk cell*cell*granulocyte*t cells*monocyte
PRPF4B,,
C6orf201,,
ECI2,O75521,liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
CDYL,Q9Y232,dendritic cell*erythroid cell*kupffer*macrophage*nk cell*cell*granulocyte*t cells*monocyte
RPP40,O75818,
LYRM4,Q9HD34,
FARS2,O95363,
NRN1,Q9NPD7,brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
F13A1,P00488,b cell*adipose*macrophage*nk cell*cell*granulocyte*t cells*monocyte
LY86,O95711,megakaryocyte*nk cell monocyte*b cell*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*macrophage*nk cell*cell*granulocyte*t cells*monocyte
SSR1,P43307,megakaryocyte
CAGE1,Q8TC20,testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
RIOK1,Q9BRS2,
SNRNP48,Q6IEG0,
BMP6,P22004,ovary*endometrium*breast*kidney*intestine*bonemarrow*seminal*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*plasma cell*b cell*dendritic cell*erythroid cell*kupffer*macrophage*nk cell*cell*granulocyte*t cells*monocyte
TXNDC5,Q8NBS9,plasma cell*b cell*dendritic cell*erythroid cell*kupffer*macrophage*nk cell*cell*granulocyte*t cells*monocyte
BLOC1S5,Q8TDH9,
EEF1E1,O43324,megakaryocyte
SLC35B3,Q9H1N7,
TFAP2A,P05549,breast*kidney*intestine*bonemarrow*seminal*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
LINC00518,Q8N0U6,
GCNT2,Q8N0V5,prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
PAK1IP1,Q9NWT1,
TMEM14C,Q9P0S9,megakaryocyte
TMEM14B,Q9NUH8,megakaryocyte
MAK,P20794,retina*cervix*lung*skin*adrenal*tongue*esophagus*ovary*endometrium*breast*kidney*intestine*bonemarrow*seminal*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
SYCP2L,Q5T4T6,parathyroid*pituitary*adipose*dendritic cell*erythroid cell*kupffer*macrophage*nk cell*cell*granulocyte*t cells*monocyte
NEDD9,Q14511,
EDN1,P05305,adipose
PHACTR1,Q9C0D0,megakaryocyte*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
TBC1D7,Q9P0N9,erythroid cell*kupffer*macrophage*nk cell*cell*granulocyte*t cells*monocyte
GFOD1,Q9NXC2,monocyte
SIRT5,Q9NXA8,
NOL7,Q9UMY1,megakaryocyte
RNF182,Q8N6D2,brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
DTNBP1,Q96EV8,brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
MYLIP,Q8WY64,
GMPR,P36959,skeletal*gallbladder*parathyroid*pituitary*adipose*erythroid cell*kupffer*macrophage*nk cell*cell*granulocyte*t cells*monocyte
ATXN1,P54253,
RBM24,Q9BX46,skeletal*gallbladder*parathyroid*pituitary*adipose
CAP2,P40123,skeletal*gallbladder*parathyroid*pituitary*adipose
TPMT,P51580,thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
DEK,P35659,megakaryocyte
RNF144B,Q7Z419,skeletal*gallbladder*parathyroid*pituitary*adipose*monocyte
E2F3,O00716,monocyte
CDKAL1,Q5VV42,
SOX4,Q06945,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*dendritic cell*erythroid cell*kupffer*macrophage*nk cell*cell*granulocyte*t cells*monocyte
PRL,P01236,pituitary*adipose
DCDC2,Q9UHG0,choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
MRS2,Q9HD23,
GPLD1,P80108,liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
ALDH5A1,P51649,liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
TDP2,O95551,intestine*bonemarrow*seminal*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
ACOT13,Q9NPJ3,liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
C6orf62,Q9GZU0,kupffer*macrophage*nk cell*cell*granulocyte*t cells*monocyte
GMNN,O75496,pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
SLC17A3,O00476,kidney*intestine*bonemarrow*seminal*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
TRIM38,O00635,monocyte
HIST1H1A,,
HIST1H3A,,
HIST1H4A,,
HIST1H2AB,P04908,
HIST1H2BB,,
HIST1H1C,,
HFE,Q30201,kupffer*macrophage*nk cell*cell*granulocyte*t cells*monocyte
HIST1H1T,,
HIST1H2BC,,
HIST1H2AC,,b cell
HIST1H2BD,P58876,
HIST1H2AD,,
HIST1H1D,,
HIST1H2BH,,
BTN3A2,P78410,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*t cells*monocyte
BTN2A2,Q8WVV5,granulocyte*t cells*monocyte
BTN3A3,O00478,t cells*monocyte
BTN2A1,Q7KYR7,
BTN1A1,Q13410,breast*kidney*intestine*bonemarrow*seminal*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
HMGN4,O00479,
ABT1,Q9ULW3,
ZNF322,Q6U7Q0,
HIST1H2BJ,,
HIST1H2AG,,
HIST1H2BK,,
HIST1H2AH,Q96KK5,
PRSS16,Q9NQE7,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
ZNF391,Q9UJN7,
ZNF184,Q99676,
HIST1H2BL,,
HIST1H2AJ,,
HIST1H2BM,,
HIST1H2BN,,
HIST1H1B,,
HIST1H2BO,,
OR2B6,P58173,
ZNF165,P49910,testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
ZSCAN16,Q9H4T2,
ZKSCAN8,Q15776,
ZSCAN9,O15535,
ZKSCAN4,Q969J2,
NKAPL,Q5M9Q1,testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
PGBD1,Q96JS3,
ZSCAN31,Q96LW9,
ZKSCAN3,Q9BRR0,
ZSCAN12,O43309,
ZSCAN23,Q3MJ62,
ZBED9,Q6R2W3,testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
TRIM27,P14373,
ZNF311,Q5JNZ3,testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
GABBR1,Q9UBS5,brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
ZNRD1,,
PPP1R11,O60927,
RNF39,Q9H2S5,vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
TRIM31,Q9BZY9,stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
TRIM40,Q6P9F5,testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
TRIM10,Q9UDY6,liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*erythroid cell*kupffer*macrophage*nk cell*cell*granulocyte*t cells*monocyte
TRIM26,Q12899,
TRIM39,Q9HCM9,
RPP21,,
GNL1,P36915,
ABCF1,Q8NE71,
PPP1R10,Q96QC0,megakaryocyte
MRPS18B,Q9Y676,
ATAT1,Q5SQI0,brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
C6orf136,Q5SQH8,
DHX16,O60231,
NRM,Q8IXM6,
TUBB,P07437,megakaryocyte*dendritic cell*erythroid cell*kupffer*macrophage*nk cell*cell*granulocyte*t cells*monocyte
FLOT1,O75955,megakaryocyte
IER3,P46695,megakaryocyte
SFTA2,Q6UW10,esophagus*ovary*endometrium*breast*kidney*intestine*bonemarrow*seminal*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
CDSN,Q15517,skin*adrenal*tongue*esophagus*ovary*endometrium*breast*kidney*intestine*bonemarrow*seminal*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
PSORS1C2,,
TCF19,Q9Y242,erythroid cell*kupffer*macrophage*nk cell*cell*granulocyte*t cells*monocyte
POU5F1,Q01860,kidney*intestine*bonemarrow*seminal*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
MICA,Q29983,
MICB,Q29980,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*t cells*monocyte
ATP6V1G2,O95670,brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
LTA,P01374,testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*t cells*monocyte
LTB,Q06643,nk t cell*t cell cd4*t cell cd8*b cell*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*t cells*monocyte
LST1,O00453,b cell*megakaryocyte*nk cell monocyte*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*monocyte
AIF1,P55008,b cell*megakaryocyte*nk cell monocyte*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*monocyte
BAG6,P46379,megakaryocyte
APOM,O95445,liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
GPANK1,O95872,
CSNK2B,P67870,b cell*megakaryocyte*nk cell monocyte
LY6G5B,Q8NDX9,langerhans*hofbauer*plasma cell*b cell*dendritic cell*erythroid cell*kupffer*macrophage*nk cell*cell*granulocyte*t cells*monocyte
LY6G5C,Q5SRR4,brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
ABHD16A,O95870,
LY6G6F,Q5SQ64,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
LY6G6C,O95867,skin*adrenal*tongue*esophagus*ovary*endometrium*breast*kidney*intestine*bonemarrow*seminal*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
DDAH2,O95865,
CLIC1,O00299,b cell*megakaryocyte*dendritic cell*nk cell monocyte*nk t cell*b cell*langerhans*hofbauer*plasma cell*erythroid cell*kupffer*macrophage*nk cell*cell*granulocyte*t cells*monocyte
MSH5,O43196,testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*erythroid cell*kupffer*macrophage*nk cell*cell*granulocyte*t cells*monocyte
VWA7,Q9Y334,pituitary*adipose
VARS,P26640,
LSM2,Q9Y333,
HSPA1L,P34931,testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
HSPA1A,P0DMV8,langerhans*hofbauer*plasma cell*b cell*dendritic cell*erythroid cell*kupffer*macrophage*nk cell*cell*granulocyte*t cells*monocyte
C6orf48,,megakaryocyte
NEU1,Q99519,
SLC44A4,Q53GD3,prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
EHMT2,Q96KQ7,
C2,P06681,liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*kupffer*macrophage*nk cell*cell*granulocyte*t cells*monocyte
ZBTB12,Q9Y330,erythroid cell*kupffer*macrophage*nk cell*cell*granulocyte*t cells*monocyte
CFB,P00751,liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
SKIV2L,Q15477,
DXO,,
TNXB,P22105,adrenal*tongue*esophagus*ovary*endometrium*breast*kidney*intestine*bonemarrow*seminal*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
ATF6B,Q99941,megakaryocyte
FKBPL,,
PRRT1,Q99946,brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
PPT2,,
EGFL8,Q99944,
AGPAT1,Q99943,
RNF5,Q99942,
PBX2,P40425,
GPSM3,Q9Y4H4,b cell*megakaryocyte*dendritic cell*nk cell monocyte*nk t cell*t cell cd4*t cell cd8*b cell*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*monocyte
TAP2,Q03519,
PSMB8,P28062,megakaryocyte*dendritic cell*nk cell monocyte*t cell cd8*b cell
TAP1,Q03518,nk cell*cell*granulocyte*t cells*monocyte
BRD2,P25440,megakaryocyte*dendritic cell*nk t cell*t cell cd4*t cell cd8*b cell
RXRB,P28702,
SLC39A7,Q92504,
HSD17B8,Q92506,
RING1,Q06587,
VPS52,Q8N1B4,
RPS18,P62269,b cell*megakaryocyte*dendritic cell*nk cell monocyte*nk t cell*t cell cd4*t cell cd8*b cell
B3GALT4,O96024,testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
PFDN6,O15212,
TAPBP,O15533,b cell*megakaryocyte*dendritic cell*nk t cell*t cell cd4*t cell cd8*b cell
ZBTB22,O15209,
DAXX,Q9UER7,
KIFC1,Q9BW19,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*erythroid cell*kupffer*macrophage*nk cell*cell*granulocyte*t cells*monocyte
CUTA,O60888,megakaryocyte*dendritic cell*nk t cell*t cell cd4*t cell cd8
SYNGAP1,Q96PV0,
ZBTB9,Q96C00,
BAK1,Q16611,
LINC00336,Q6ZUF6,
UQCC2,Q9BRT2,
GRM4,Q14833,brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
HMGA1,P17096,megakaryocyte*esophagus*ovary*endometrium*breast*kidney*intestine*bonemarrow*seminal*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
C6orf1,,
NUDT3,O95989,
RPS10,P46783,b cell*megakaryocyte*dendritic cell*nk cell monocyte*nk t cell*t cell cd4*t cell cd8*b cell
PACSIN1,Q9BY11,brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*dendritic cell*erythroid cell*kupffer*macrophage*nk cell*cell*granulocyte*t cells*monocyte
SPDEF,O95238,prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
C6orf106,,
SNRPC,P09234,megakaryocyte
TAF11,Q15544,
SCUBE3,Q8IX30,thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
ZNF76,P36508,
DEF6,Q01524,megakaryocyte*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*t cells*monocyte
PPARD,,
FANCE,Q9HB96,
RPL10A,P62906,b cell*megakaryocyte*dendritic cell*nk cell monocyte*nk t cell*t cell cd4*t cell cd8*b cell
TEAD3,Q99594,
TULP1,O00294,retina*cervix*lung*skin*adrenal*tongue*esophagus*ovary*endometrium*breast*kidney*intestine*bonemarrow*seminal*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
FKBP5,Q13451,megakaryocyte*skeletal*gallbladder*parathyroid*pituitary*adipose*monocyte
ARMC12,Q5T9G4,testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
SRPK1,Q96SB4,
SLC26A8,Q96RN1,testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
MAPK14,Q16539,
MAPK13,O15264,esophagus*ovary*endometrium*breast*kidney*intestine*bonemarrow*seminal*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
